culture,pH,rainfall_mm,temperature_C
Sorgho (Sorghum),6.43,615.9,27.1
Riz pluvial (Rainfed Rice),6.24,612.0,26.9
Mil (Pearl Millet),5.24,871.8,35.0
Maïs (Maize),6.41,735.3,32.1
Niébé (Cowpea),6.06,455.1,34.9
Sésame (Sesame),6.42,563.9,32.7
Mil (Pearl Millet),5.73,851.4,34.4
Sésame (Sesame),6.27,502.9,27.1
Patate douce (Sweet Potato),5.96,934.9,26.7
Gombo (Okra),6.32,777.8,28.3
Maïs (Maize),6.27,579.6,20.6
Gombo (Okra),5.96,620.4,32.5
Arachide (Groundnut),5.83,521.0,25.3
Sorgho (Sorghum),6.02,604.0,34.9
Maïs (Maize),6.34,582.2,29.4
Maïs (Maize),6.08,623.8,22.3
Maïs (Maize),6.0,660.5,28.1
Gombo (Okra),6.43,743.9,24.4
Maïs (Maize),6.41,647.5,23.5
Arachide (Groundnut),5.83,766.9,27.9
Patate douce (Sweet Potato),6.15,1005.8,21.9
Arachide (Groundnut),5.99,687.6,25.6
Maïs (Maize),6.45,787.0,29.5
Maïs (Maize),6.11,588.5,27.8
Riz pluvial (Rainfed Rice),6.34,610.9,26.7
Patate douce (Sweet Potato),5.87,914.2,24.1
Manioc (Cassava),5.78,1043.2,31.0
Patate douce (Sweet Potato),5.9,934.1,25.9
Arachide (Groundnut),6.16,898.7,21.0
Mil (Pearl Millet),6.0,705.9,36.1
Patate douce (Sweet Potato),6.09,1087.5,25.4
Niébé (Cowpea),6.41,415.8,32.3
Sorgho (Sorghum),7.24,444.5,26.2
Sorgho (Sorghum),6.03,484.0,32.5
Sésame (Sesame),6.69,455.4,25.7
Sorgho (Sorghum),6.1,611.4,29.2
Gombo (Okra),6.31,746.5,24.0
Patate douce (Sweet Potato),6.09,992.7,29.3
Niébé (Cowpea),6.07,562.2,27.1
Sorgho (Sorghum),6.88,409.3,31.0
Sésame (Sesame),6.53,409.7,34.5
Gombo (Okra),6.26,835.1,29.5
Arachide (Groundnut),6.1,792.2,26.1
Arachide (Groundnut),5.93,763.4,25.5
Manioc (Cassava),6.68,1297.4,34.9
Mil (Pearl Millet),5.31,868.0,38.4
Maïs (Maize),6.35,582.4,22.0
Sésame (Sesame),6.91,692.1,27.5
Riz pluvial (Rainfed Rice),6.16,647.5,24.5
Gombo (Okra),5.91,665.8,30.8
Arachide (Groundnut),5.99,774.2,21.8
Riz pluvial (Rainfed Rice),5.63,629.8,27.8
Niébé (Cowpea),5.58,415.2,34.2
Riz pluvial (Rainfed Rice),6.05,611.3,25.5
Mil (Pearl Millet),5.74,664.1,32.7
Mil (Pearl Millet),5.21,881.9,39.9
Patate douce (Sweet Potato),5.95,1087.5,22.7
Niébé (Cowpea),5.55,371.8,30.3
Sorgho (Sorghum),6.84,439.4,29.6
Maïs (Maize),6.03,701.0,33.0
Niébé (Cowpea),5.72,566.0,30.1
Mil (Pearl Millet),5.59,590.7,32.4
Riz pluvial (Rainfed Rice),5.84,612.7,30.8
Patate douce (Sweet Potato),5.98,879.3,27.5
Mil (Pearl Millet),5.24,820.7,39.1
Patate douce (Sweet Potato),6.12,812.1,23.3
Maïs (Maize),6.02,700.7,24.8
Niébé (Cowpea),5.63,352.5,30.9
Mil (Pearl Millet),5.89,515.1,36.7
Sésame (Sesame),6.91,661.5,27.7
Mil (Pearl Millet),5.99,737.4,36.0
Riz pluvial (Rainfed Rice),6.14,678.4,31.5
Mil (Pearl Millet),5.49,663.1,36.7
Sésame (Sesame),6.63,412.8,31.7
Manioc (Cassava),6.88,1391.7,33.7
Riz pluvial (Rainfed Rice),6.34,696.4,28.6
Sésame (Sesame),6.68,614.4,29.2
Niébé (Cowpea),5.73,487.9,27.5
Patate douce (Sweet Potato),6.11,851.3,23.6
Manioc (Cassava),5.94,1174.0,33.7
Sésame (Sesame),6.53,564.1,28.3
Niébé (Cowpea),5.86,379.9,28.5
Patate douce (Sweet Potato),5.97,1070.2,25.0
Patate douce (Sweet Potato),5.94,973.9,21.2
Patate douce (Sweet Potato),6.16,994.2,21.2
Arachide (Groundnut),6.16,894.1,25.5
Arachide (Groundnut),5.92,549.5,25.1
Sorgho (Sorghum),6.94,439.4,27.3
Mil (Pearl Millet),5.64,516.8,35.9
Gombo (Okra),6.79,766.1,32.8
Riz pluvial (Rainfed Rice),6.07,659.3,26.7
Sorgho (Sorghum),6.59,532.1,30.5
Mil (Pearl Millet),5.71,827.6,36.4
Sésame (Sesame),6.3,519.4,30.2
Arachide (Groundnut),6.01,683.4,21.9
Maïs (Maize),6.17,574.3,27.8
Arachide (Groundnut),5.91,765.4,28.6
Riz pluvial (Rainfed Rice),5.8,670.9,24.0
Arachide (Groundnut),6.07,766.4,26.6
Gombo (Okra),6.27,872.2,22.6
Gombo (Okra),6.59,654.2,27.5
Maïs (Maize),6.15,690.4,25.3
Sorgho (Sorghum),6.27,449.3,28.4
Niébé (Cowpea),6.15,588.9,25.0
Gombo (Okra),6.77,839.0,29.6
Patate douce (Sweet Potato),6.07,928.9,24.4
Arachide (Groundnut),5.87,541.9,27.3
Niébé (Cowpea),6.25,532.5,31.1
Maïs (Maize),6.2,803.8,24.6
Riz pluvial (Rainfed Rice),5.84,629.1,26.9
Gombo (Okra),6.31,760.6,20.4
Gombo (Okra),5.84,812.7,27.1
Manioc (Cassava),6.77,1352.3,29.7
Mil (Pearl Millet),5.96,764.0,37.5
Niébé (Cowpea),5.61,581.3,32.3
Riz pluvial (Rainfed Rice),5.78,663.5,30.7
Arachide (Groundnut),5.81,594.5,23.6
Niébé (Cowpea),6.03,461.5,25.7
Niébé (Cowpea),6.14,528.3,34.9
Niébé (Cowpea),6.29,574.2,28.2
Mil (Pearl Millet),5.83,863.8,31.4
Maïs (Maize),6.05,732.8,30.4
Maïs (Maize),6.3,734.2,29.3
Manioc (Cassava),6.04,1455.6,26.1
Patate douce (Sweet Potato),6.11,1044.9,27.6
Niébé (Cowpea),5.87,410.2,32.7
Manioc (Cassava),5.86,1148.0,33.6
Sésame (Sesame),6.27,686.6,29.2
Maïs (Maize),6.04,805.6,20.6
Patate douce (Sweet Potato),6.14,795.0,29.9
Sorgho (Sorghum),7.17,509.9,32.6
Sésame (Sesame),6.23,662.5,34.6
Manioc (Cassava),5.7,1132.5,25.8
Manioc (Cassava),6.48,1352.8,31.7
Gombo (Okra),6.4,834.7,20.7
Patate douce (Sweet Potato),6.01,836.2,24.6
Niébé (Cowpea),6.37,399.9,26.9
Niébé (Cowpea),6.42,405.7,29.4
Manioc (Cassava),6.45,1478.5,27.6
Mil (Pearl Millet),5.48,575.9,37.7
Arachide (Groundnut),6.07,699.3,28.6
Riz pluvial (Rainfed Rice),6.18,674.2,29.5
Mil (Pearl Millet),5.29,735.7,39.3
Mil (Pearl Millet),5.69,806.6,37.9
Manioc (Cassava),6.26,1064.3,28.6
Riz pluvial (Rainfed Rice),5.66,668.3,27.5
Manioc (Cassava),6.37,1009.1,31.2
Niébé (Cowpea),6.36,444.5,33.9
Sésame (Sesame),6.82,654.0,25.9
Arachide (Groundnut),6.01,878.6,25.5
Riz pluvial (Rainfed Rice),5.97,651.2,27.3
Maïs (Maize),6.26,851.1,24.0
Sésame (Sesame),6.89,422.2,32.0
Niébé (Cowpea),6.28,393.7,32.7
Arachide (Groundnut),5.83,646.9,26.1
Maïs (Maize),6.33,858.7,27.0
Mil (Pearl Millet),5.71,588.6,39.2
Niébé (Cowpea),6.18,506.7,34.4
Manioc (Cassava),5.65,1151.6,29.0
Mil (Pearl Millet),5.79,821.2,34.2
Sésame (Sesame),6.3,428.5,30.5
Patate douce (Sweet Potato),6.04,953.4,23.0
Mil (Pearl Millet),5.95,557.8,37.9
Sésame (Sesame),6.73,652.5,26.6
Manioc (Cassava),6.02,1281.2,31.2
Sésame (Sesame),6.58,432.5,27.9
Mil (Pearl Millet),5.98,624.1,31.4
Maïs (Maize),6.49,608.1,27.7
Sorgho (Sorghum),7.41,642.8,34.7
Niébé (Cowpea),6.17,369.1,32.2
Riz pluvial (Rainfed Rice),5.58,626.6,29.2
Riz pluvial (Rainfed Rice),5.65,632.4,26.4
Gombo (Okra),6.52,673.4,26.4
Maïs (Maize),6.2,599.1,32.0
Riz pluvial (Rainfed Rice),6.33,647.9,27.6
Maïs (Maize),6.29,749.9,32.3
Riz pluvial (Rainfed Rice),5.94,677.7,24.5
Patate douce (Sweet Potato),5.91,1082.5,29.3
Gombo (Okra),6.19,674.3,27.4
Patate douce (Sweet Potato),6.02,966.0,23.8
Maïs (Maize),6.07,503.4,31.3
Gombo (Okra),6.0,836.0,32.8
Maïs (Maize),6.47,881.9,28.3
Riz pluvial (Rainfed Rice),6.0,684.1,26.6
Gombo (Okra),6.25,779.0,23.5
Riz pluvial (Rainfed Rice),6.01,696.6,28.7
Gombo (Okra),6.22,648.6,27.6
Sorgho (Sorghum),6.12,477.2,33.0
Mil (Pearl Millet),5.32,623.8,33.1
Mil (Pearl Millet),5.72,511.6,38.3
Mil (Pearl Millet),5.3,534.5,33.6
Riz pluvial (Rainfed Rice),5.99,649.3,29.3
Riz pluvial (Rainfed Rice),6.01,659.8,28.1
Niébé (Cowpea),5.81,511.5,34.3
Gombo (Okra),6.65,750.1,30.4
Gombo (Okra),6.38,795.6,20.5
Patate douce (Sweet Potato),6.17,1045.8,21.3
Sorgho (Sorghum),6.06,489.1,27.4
Gombo (Okra),6.59,706.2,23.7
Gombo (Okra),6.69,723.1,33.7
Mil (Pearl Millet),5.97,678.4,35.2
Maïs (Maize),6.11,513.3,30.1
Riz pluvial (Rainfed Rice),5.7,677.2,25.3
Niébé (Cowpea),6.02,506.1,33.0
Sorgho (Sorghum),6.1,480.5,33.1
Mil (Pearl Millet),5.84,574.2,35.7
Sésame (Sesame),6.53,456.0,25.1
Manioc (Cassava),6.91,1438.0,30.8
Niébé (Cowpea),6.12,527.0,30.3
Mil (Pearl Millet),5.78,793.0,32.7
Gombo (Okra),6.17,746.8,30.8
Niébé (Cowpea),6.08,525.1,26.5
Arachide (Groundnut),6.13,533.5,25.0
Patate douce (Sweet Potato),5.95,869.0,25.0
Gombo (Okra),6.18,894.6,31.0
Mil (Pearl Millet),5.28,702.7,35.2
Maïs (Maize),6.09,808.4,26.3
Gombo (Okra),6.07,665.3,22.4
Sorgho (Sorghum),6.56,591.5,30.7
Niébé (Cowpea),6.45,415.4,26.1
Patate douce (Sweet Potato),5.99,817.0,28.4
Gombo (Okra),6.46,725.5,32.3
Patate douce (Sweet Potato),6.0,981.9,22.2
Gombo (Okra),6.1,824.2,28.0
Gombo (Okra),6.76,724.0,29.9
Niébé (Cowpea),5.91,521.9,30.9
Sorgho (Sorghum),6.65,644.8,33.0
Maïs (Maize),6.38,879.4,26.1
Riz pluvial (Rainfed Rice),5.76,623.3,30.7
Sésame (Sesame),6.63,537.9,30.7
Niébé (Cowpea),6.33,360.3,26.0
Maïs (Maize),6.45,546.2,26.7
Maïs (Maize),6.22,689.8,27.6
Patate douce (Sweet Potato),5.89,893.1,25.5
Mil (Pearl Millet),5.69,794.4,37.3
Riz pluvial (Rainfed Rice),5.74,612.8,31.2
Niébé (Cowpea),6.04,410.2,33.1
Maïs (Maize),6.1,890.0,21.7
Gombo (Okra),6.72,644.2,26.6
Mil (Pearl Millet),5.97,538.9,33.0
Patate douce (Sweet Potato),5.86,925.5,25.8
Riz pluvial (Rainfed Rice),5.79,685.1,29.3
Arachide (Groundnut),5.84,660.7,21.6
Sésame (Sesame),6.4,416.3,29.3
Maïs (Maize),6.24,673.0,22.7
Manioc (Cassava),6.96,1486.8,30.1
Maïs (Maize),6.16,884.4,28.5
Arachide (Groundnut),5.81,753.8,29.1
Manioc (Cassava),6.92,1275.3,30.4
Mil (Pearl Millet),5.58,650.5,36.1
Gombo (Okra),5.9,887.4,32.4
Maïs (Maize),6.16,700.5,29.9
Manioc (Cassava),5.87,1222.4,25.7
Manioc (Cassava),6.75,1023.7,31.8
Arachide (Groundnut),5.99,842.7,27.3
Gombo (Okra),6.06,733.9,30.1
Maïs (Maize),6.02,785.4,26.9
Manioc (Cassava),6.67,1236.9,27.1
Mil (Pearl Millet),5.97,790.2,31.1
Gombo (Okra),6.53,615.7,25.8
Niébé (Cowpea),5.73,385.0,28.4
Mil (Pearl Millet),5.38,524.4,37.4
Sésame (Sesame),6.09,465.4,29.9
Manioc (Cassava),6.31,1158.4,30.1
Sorgho (Sorghum),6.53,428.9,29.3
Niébé (Cowpea),6.24,440.3,31.0
Riz pluvial (Rainfed Rice),5.56,643.9,25.8
Niébé (Cowpea),6.09,413.0,27.9
Arachide (Groundnut),5.92,548.1,24.2
Niébé (Cowpea),5.62,387.0,28.1
Mil (Pearl Millet),5.92,554.2,32.7
Riz pluvial (Rainfed Rice),6.48,610.2,24.2
Sésame (Sesame),6.75,629.5,32.6
Niébé (Cowpea),5.51,402.4,25.6
Arachide (Groundnut),6.01,834.2,25.9
Gombo (Okra),6.18,686.4,35.0
Sorgho (Sorghum),6.91,623.8,25.8
Patate douce (Sweet Potato),6.1,826.3,24.5
Sésame (Sesame),6.24,589.0,29.8
Gombo (Okra),6.66,811.7,24.9
Sorgho (Sorghum),6.31,463.5,30.7
Patate douce (Sweet Potato),6.08,919.4,26.8
Niébé (Cowpea),5.85,431.8,34.4
Gombo (Okra),5.85,874.2,28.1
Sorgho (Sorghum),7.26,465.5,29.1
Sorgho (Sorghum),7.01,642.1,31.9
Mil (Pearl Millet),5.73,662.3,39.6
Manioc (Cassava),6.76,1144.3,26.9
Niébé (Cowpea),5.78,531.5,28.8
Manioc (Cassava),6.86,1110.0,34.1
Maïs (Maize),6.4,558.1,28.1
Riz pluvial (Rainfed Rice),6.41,640.1,25.8
Sorgho (Sorghum),7.1,490.4,30.0
Niébé (Cowpea),5.94,588.5,30.0
Arachide (Groundnut),6.07,769.4,21.5
Maïs (Maize),6.12,726.4,21.6
Gombo (Okra),6.32,850.0,26.1
Sésame (Sesame),6.39,506.9,32.7
Gombo (Okra),6.28,825.5,29.7
Maïs (Maize),6.33,659.7,31.5
Sorgho (Sorghum),6.05,585.3,28.4
Mil (Pearl Millet),5.34,600.0,33.9
Maïs (Maize),6.05,722.2,28.8
Gombo (Okra),6.61,763.5,28.9
Mil (Pearl Millet),5.67,585.9,32.5
Arachide (Groundnut),6.04,765.5,27.3
Patate douce (Sweet Potato),5.82,822.1,22.1
Niébé (Cowpea),5.89,359.6,33.5
Mil (Pearl Millet),5.77,526.1,31.0
Arachide (Groundnut),6.17,606.8,27.2
Arachide (Groundnut),5.98,640.8,24.3
Niébé (Cowpea),5.7,370.8,30.1
Sorgho (Sorghum),7.15,455.8,32.9
Manioc (Cassava),6.02,1070.1,31.8
Mil (Pearl Millet),5.96,891.0,37.6
Sésame (Sesame),6.91,587.5,30.3
Arachide (Groundnut),6.0,749.9,23.0
Mil (Pearl Millet),5.73,734.8,34.8
Riz pluvial (Rainfed Rice),6.41,606.4,24.6
Niébé (Cowpea),5.96,510.7,34.9
Niébé (Cowpea),6.09,491.8,25.9
Riz pluvial (Rainfed Rice),6.35,688.3,28.0
Arachide (Groundnut),6.05,564.4,22.9
Riz pluvial (Rainfed Rice),5.83,604.4,24.1
Niébé (Cowpea),6.33,536.1,28.1
Sorgho (Sorghum),6.11,527.3,28.1
Niébé (Cowpea),6.19,367.9,33.1
Mil (Pearl Millet),5.74,899.7,36.6
Sorgho (Sorghum),6.5,403.4,29.0
Manioc (Cassava),5.59,1013.2,27.2
Sésame (Sesame),6.7,652.8,29.9
Niébé (Cowpea),5.73,442.8,33.1
Niébé (Cowpea),5.91,487.5,34.9
Manioc (Cassava),6.15,1011.4,28.4
Niébé (Cowpea),5.88,370.4,33.1
Sésame (Sesame),6.28,682.4,31.4
Sorgho (Sorghum),6.02,636.5,29.3
Riz pluvial (Rainfed Rice),5.69,653.3,26.4
Sésame (Sesame),6.2,578.9,31.7
Mil (Pearl Millet),5.46,776.0,35.1
Riz pluvial (Rainfed Rice),5.72,687.5,27.5
Niébé (Cowpea),6.09,367.8,29.1
Mil (Pearl Millet),5.95,734.6,32.8
Sorgho (Sorghum),7.21,631.5,31.4
Maïs (Maize),6.15,870.2,25.4
Arachide (Groundnut),6.04,892.4,23.4
Maïs (Maize),6.08,838.2,27.6
Patate douce (Sweet Potato),5.88,795.2,29.0
Sésame (Sesame),6.09,566.2,27.5
Arachide (Groundnut),6.14,719.1,26.8
Gombo (Okra),6.19,649.0,22.2
Sésame (Sesame),6.48,477.1,31.2
Patate douce (Sweet Potato),6.02,920.8,23.7
Mil (Pearl Millet),5.31,813.5,34.4
Manioc (Cassava),6.88,1394.5,31.6
Niébé (Cowpea),5.65,441.0,25.6
Patate douce (Sweet Potato),5.94,788.9,28.0
Arachide (Groundnut),6.14,813.8,21.4
Arachide (Groundnut),6.03,630.5,27.3
Sésame (Sesame),6.91,459.2,26.7
Patate douce (Sweet Potato),5.88,935.0,23.1
Maïs (Maize),6.35,668.6,22.8
Maïs (Maize),6.05,873.0,32.3
Arachide (Groundnut),5.8,781.9,24.1
Sésame (Sesame),6.91,574.6,32.4
Riz pluvial (Rainfed Rice),5.55,676.7,26.1
Patate douce (Sweet Potato),6.13,778.4,27.0
Gombo (Okra),6.15,828.5,30.1
Patate douce (Sweet Potato),6.05,1044.1,23.3
Mil (Pearl Millet),5.76,661.8,34.9
Riz pluvial (Rainfed Rice),6.4,607.0,29.5
Maïs (Maize),6.38,638.7,25.8
Riz pluvial (Rainfed Rice),6.5,663.2,27.8
Riz pluvial (Rainfed Rice),6.13,659.9,28.6
Sésame (Sesame),6.82,598.7,31.4
Arachide (Groundnut),5.97,680.6,27.8
Sorgho (Sorghum),6.99,542.7,32.2
Manioc (Cassava),7.0,1321.2,25.5
Sésame (Sesame),6.24,574.5,26.8
Patate douce (Sweet Potato),6.18,896.4,23.8
Mil (Pearl Millet),5.46,850.3,38.7
Manioc (Cassava),5.7,1113.4,29.9
Arachide (Groundnut),6.05,558.1,21.7
Patate douce (Sweet Potato),6.06,1068.6,24.0
Arachide (Groundnut),5.91,732.8,22.0
Mil (Pearl Millet),5.32,877.0,36.4
Niébé (Cowpea),6.11,582.6,33.0
Mil (Pearl Millet),5.94,663.7,35.3
Mil (Pearl Millet),5.88,850.6,38.3
Maïs (Maize),6.27,628.1,29.4
Niébé (Cowpea),5.91,367.7,30.5
Niébé (Cowpea),6.19,509.8,29.3
Sésame (Sesame),6.91,425.0,25.2
Mil (Pearl Millet),5.37,898.6,40.0
Niébé (Cowpea),6.04,353.1,32.6
Maïs (Maize),6.05,661.7,26.4
Sorgho (Sorghum),6.31,516.7,27.2
Riz pluvial (Rainfed Rice),6.39,619.7,29.3
Gombo (Okra),6.4,818.9,30.9
Riz pluvial (Rainfed Rice),6.48,637.9,24.6
Patate douce (Sweet Potato),6.03,930.6,23.3
Arachide (Groundnut),5.93,702.9,27.9
Riz pluvial (Rainfed Rice),6.01,690.7,30.3
Mil (Pearl Millet),5.52,707.0,36.9
Mil (Pearl Millet),5.31,733.5,34.6
Patate douce (Sweet Potato),5.9,759.5,24.7
Maïs (Maize),6.08,590.5,25.5
Patate douce (Sweet Potato),6.19,934.7,25.0
Riz pluvial (Rainfed Rice),5.93,639.9,28.9
Sorgho (Sorghum),6.03,457.2,32.8
Manioc (Cassava),6.11,1048.4,30.2
Niébé (Cowpea),5.54,548.5,30.0
Patate douce (Sweet Potato),5.92,833.2,28.1
Niébé (Cowpea),5.71,470.7,25.1
Riz pluvial (Rainfed Rice),6.1,663.4,24.2
Patate douce (Sweet Potato),6.0,989.9,22.3
Niébé (Cowpea),6.38,573.5,30.8
Maïs (Maize),6.27,795.9,23.7
Riz pluvial (Rainfed Rice),5.6,647.3,28.6
Mil (Pearl Millet),5.97,714.0,33.6
Sésame (Sesame),6.89,529.8,27.0
Sésame (Sesame),6.8,507.2,28.8
Sésame (Sesame),6.22,559.5,29.6
Arachide (Groundnut),6.11,621.1,23.0
Niébé (Cowpea),5.96,596.2,27.0
Manioc (Cassava),5.75,1091.0,30.4
Niébé (Cowpea),5.74,420.9,26.4
Niébé (Cowpea),5.67,565.0,29.1
Sésame (Sesame),6.84,578.5,26.4
Sorgho (Sorghum),6.65,443.7,25.9
Patate douce (Sweet Potato),6.12,1077.5,25.8
Riz pluvial (Rainfed Rice),6.48,630.3,27.9
Gombo (Okra),6.54,899.0,25.7
Manioc (Cassava),6.77,1291.8,32.5
Maïs (Maize),6.41,880.4,21.5
Arachide (Groundnut),6.13,852.8,26.1
Maïs (Maize),6.11,531.8,24.2
Maïs (Maize),6.01,643.8,29.1
Mil (Pearl Millet),5.45,542.0,39.6
Riz pluvial (Rainfed Rice),5.83,613.0,31.7
Sésame (Sesame),6.82,695.9,30.9
Mil (Pearl Millet),5.4,796.5,36.5
Maïs (Maize),6.32,579.3,26.9
Maïs (Maize),6.26,507.3,24.8
Sésame (Sesame),6.17,653.7,25.5
Riz pluvial (Rainfed Rice),6.5,681.7,30.5
Riz pluvial (Rainfed Rice),5.99,634.3,27.1
Patate douce (Sweet Potato),6.11,859.8,25.4
Sésame (Sesame),6.75,620.7,28.1
Mil (Pearl Millet),5.94,800.7,37.7
Niébé (Cowpea),6.09,535.8,26.6
Maïs (Maize),6.23,790.6,31.8
Sorgho (Sorghum),6.53,631.3,28.6
Arachide (Groundnut),5.85,576.5,27.8
Maïs (Maize),6.34,823.0,28.4
Sésame (Sesame),6.36,694.7,25.4
Riz pluvial (Rainfed Rice),6.22,665.7,25.0
Patate douce (Sweet Potato),5.96,788.9,23.0
Sorgho (Sorghum),6.39,429.9,29.3
Manioc (Cassava),5.65,1179.7,26.4
Sésame (Sesame),6.36,480.2,29.8
Manioc (Cassava),5.94,1490.2,28.0
Sésame (Sesame),6.45,594.1,29.2
Sésame (Sesame),6.71,695.8,26.2
Manioc (Cassava),6.55,1391.1,25.8
Riz pluvial (Rainfed Rice),6.23,629.6,24.7
Gombo (Okra),6.3,826.0,32.0
Arachide (Groundnut),5.88,527.7,25.0
Manioc (Cassava),6.25,1103.6,25.6
Manioc (Cassava),6.04,1309.7,34.7
Riz pluvial (Rainfed Rice),6.46,681.0,28.2
Patate douce (Sweet Potato),6.0,816.7,22.1
Arachide (Groundnut),5.84,872.4,28.3
Niébé (Cowpea),5.68,365.2,34.7
Maïs (Maize),6.18,853.9,31.9
Arachide (Groundnut),5.99,761.6,25.5
Manioc (Cassava),6.15,1433.8,30.0
Arachide (Groundnut),5.98,731.9,28.5
Niébé (Cowpea),6.23,577.4,26.4
Niébé (Cowpea),6.13,453.2,31.3
Sorgho (Sorghum),6.64,564.8,34.2
Niébé (Cowpea),6.18,597.9,27.9
Niébé (Cowpea),5.59,377.6,27.3
Sorgho (Sorghum),6.77,633.6,29.0
Mil (Pearl Millet),5.37,879.5,35.2
Mil (Pearl Millet),5.59,808.7,33.0
Mil (Pearl Millet),5.8,740.3,33.7
Arachide (Groundnut),6.0,641.6,26.3
Mil (Pearl Millet),5.79,872.1,32.6
Sorgho (Sorghum),7.01,649.4,28.6
Sorgho (Sorghum),6.65,436.4,25.7
Mil (Pearl Millet),5.59,536.3,32.6
Sorgho (Sorghum),6.27,627.4,27.5
Sésame (Sesame),6.61,518.6,33.9
Sorgho (Sorghum),7.05,602.0,33.3
Niébé (Cowpea),6.4,590.8,32.6
Niébé (Cowpea),6.2,437.7,33.3
Gombo (Okra),6.41,836.5,33.2
Gombo (Okra),6.4,797.4,25.0
Maïs (Maize),6.27,749.8,27.9
Manioc (Cassava),6.8,1432.3,25.9
Sésame (Sesame),6.7,420.1,32.5
Sésame (Sesame),6.64,629.9,33.8
Patate douce (Sweet Potato),6.1,878.6,26.5
Mil (Pearl Millet),5.57,754.8,35.1
Manioc (Cassava),6.03,1498.1,30.7
Arachide (Groundnut),6.2,623.2,21.8
Sésame (Sesame),6.57,470.3,30.4
Niébé (Cowpea),6.49,462.9,26.1
Gombo (Okra),6.37,646.5,23.9
Gombo (Okra),6.72,733.1,23.9
Niébé (Cowpea),6.23,409.4,32.5
Niébé (Cowpea),5.89,576.5,25.3
Maïs (Maize),6.06,723.2,29.4
Manioc (Cassava),6.7,1455.3,28.5
Sorgho (Sorghum),6.74,474.8,31.4
Patate douce (Sweet Potato),6.07,1027.7,27.5
Mil (Pearl Millet),5.96,642.8,35.7
Manioc (Cassava),6.63,1022.8,29.9
Sésame (Sesame),6.86,573.3,33.5
Patate douce (Sweet Potato),5.82,840.1,29.0
Maïs (Maize),6.05,770.2,30.7
Maïs (Maize),6.35,847.1,31.7
Gombo (Okra),6.26,657.8,29.2
Sésame (Sesame),6.74,419.0,27.5
Manioc (Cassava),6.35,1050.7,34.9
Sorgho (Sorghum),6.31,577.0,28.4
Manioc (Cassava),6.52,1298.7,29.7
Patate douce (Sweet Potato),6.18,1050.0,27.0
Riz pluvial (Rainfed Rice),6.45,606.3,25.0
Maïs (Maize),6.14,536.0,27.8
Sorgho (Sorghum),6.33,602.8,25.2
Riz pluvial (Rainfed Rice),6.49,623.8,25.2
Arachide (Groundnut),5.8,631.0,28.4
Gombo (Okra),6.48,787.6,31.3
Riz pluvial (Rainfed Rice),5.87,697.3,30.3
Gombo (Okra),5.93,818.9,29.9
Maïs (Maize),6.41,554.9,21.7
Patate douce (Sweet Potato),6.18,861.9,27.8
Niébé (Cowpea),6.26,516.2,33.4
Mil (Pearl Millet),5.66,792.2,37.0
Sorgho (Sorghum),7.01,649.7,31.8
Patate douce (Sweet Potato),6.17,953.6,22.2
Gombo (Okra),6.2,839.8,32.3
Manioc (Cassava),6.23,1223.6,31.0
Niébé (Cowpea),5.87,428.0,30.8
Patate douce (Sweet Potato),5.8,1085.7,27.1
Sorgho (Sorghum),6.85,472.4,27.4
Manioc (Cassava),5.58,1295.7,27.1
Maïs (Maize),6.3,837.8,27.2
Niébé (Cowpea),6.02,476.9,33.4
Riz pluvial (Rainfed Rice),5.79,685.6,28.4
Riz pluvial (Rainfed Rice),5.65,655.0,29.2
Arachide (Groundnut),6.18,712.9,29.5
Gombo (Okra),6.6,899.4,23.6
Mil (Pearl Millet),5.23,605.9,32.8
Niébé (Cowpea),6.49,530.7,33.8
Riz pluvial (Rainfed Rice),5.73,625.0,29.4
Sorgho (Sorghum),6.88,402.3,31.3
Patate douce (Sweet Potato),5.95,886.4,28.5
Sésame (Sesame),6.33,424.9,29.1
Sésame (Sesame),6.56,598.7,27.5
Manioc (Cassava),6.11,1013.2,30.7
Niébé (Cowpea),6.35,533.5,30.1
Patate douce (Sweet Potato),6.07,996.5,23.1
Maïs (Maize),6.15,715.6,30.5
Maïs (Maize),6.26,838.0,30.9
Mil (Pearl Millet),5.86,725.1,35.6
Patate douce (Sweet Potato),5.86,801.2,26.7
Arachide (Groundnut),6.08,844.9,29.3
Arachide (Groundnut),6.15,536.4,28.4
Manioc (Cassava),6.15,1042.5,33.9
Maïs (Maize),6.28,761.4,25.8
Niébé (Cowpea),5.95,548.8,30.3
Niébé (Cowpea),5.68,363.9,32.6
Niébé (Cowpea),6.45,428.6,33.5
Patate douce (Sweet Potato),6.09,1041.0,24.6
Sorgho (Sorghum),6.81,512.8,25.9
Niébé (Cowpea),6.26,457.7,34.8
Patate douce (Sweet Potato),5.95,961.1,29.5
Mil (Pearl Millet),5.33,828.5,32.2
Arachide (Groundnut),5.81,857.5,21.9
Patate douce (Sweet Potato),5.87,919.9,21.8
Niébé (Cowpea),5.66,537.1,31.9
Patate douce (Sweet Potato),6.01,1047.1,24.2
Riz pluvial (Rainfed Rice),6.04,673.8,29.6
Gombo (Okra),6.71,694.3,33.8
Patate douce (Sweet Potato),6.12,818.3,21.0
Riz pluvial (Rainfed Rice),5.94,651.6,24.7
Arachide (Groundnut),6.1,595.4,24.5
Sésame (Sesame),6.42,412.3,30.1
